"HORAPK";"HORA";"MINUTO";"SEGUNDO";"HORAINGRESO";"HORACIERREAGENCIA";"HORAALMUERZO";"HORASALIDA";"HORALABORABLE"
"00626";"0";"6";"26";"N";"N";"N";"N";"N"
"00627";"0";"6";"27";"N";"N";"N";"N";"N"
"00628";"0";"6";"28";"N";"N";"N";"N";"N"
"00631";"0";"6";"31";"N";"N";"N";"N";"N"
"00632";"0";"6";"32";"N";"N";"N";"N";"N"
"00633";"0";"6";"33";"N";"N";"N";"N";"N"
"00634";"0";"6";"34";"N";"N";"N";"N";"N"
"00635";"0";"6";"35";"N";"N";"N";"N";"N"
"00638";"0";"6";"38";"N";"N";"N";"N";"N"
"00640";"0";"6";"40";"N";"N";"N";"N";"N"
"00641";"0";"6";"41";"N";"N";"N";"N";"N"
"00642";"0";"6";"42";"N";"N";"N";"N";"N"
"00643";"0";"6";"43";"N";"N";"N";"N";"N"
"00645";"0";"6";"45";"N";"N";"N";"N";"N"
"00646";"0";"6";"46";"N";"N";"N";"N";"N"
"00647";"0";"6";"47";"N";"N";"N";"N";"N"
"00650";"0";"6";"50";"N";"N";"N";"N";"N"
"00653";"0";"6";"53";"N";"N";"N";"N";"N"
"00654";"0";"6";"54";"N";"N";"N";"N";"N"
"00655";"0";"6";"55";"N";"N";"N";"N";"N"
"00656";"0";"6";"56";"N";"N";"N";"N";"N"
"00657";"0";"6";"57";"N";"N";"N";"N";"N"
"00701";"0";"7";"1";"N";"N";"N";"N";"N"
"00702";"0";"7";"2";"N";"N";"N";"N";"N"
"00705";"0";"7";"5";"N";"N";"N";"N";"N"
"00706";"0";"7";"6";"N";"N";"N";"N";"N"
"00708";"0";"7";"8";"N";"N";"N";"N";"N"
"00709";"0";"7";"9";"N";"N";"N";"N";"N"
"00712";"0";"7";"12";"N";"N";"N";"N";"N"
"00713";"0";"7";"13";"N";"N";"N";"N";"N"
"00714";"0";"7";"14";"N";"N";"N";"N";"N"
"00717";"0";"7";"17";"N";"N";"N";"N";"N"
"00719";"0";"7";"19";"N";"N";"N";"N";"N"
"00720";"0";"7";"20";"N";"N";"N";"N";"N"
"00723";"0";"7";"23";"N";"N";"N";"N";"N"
"00725";"0";"7";"25";"N";"N";"N";"N";"N"
"00726";"0";"7";"26";"N";"N";"N";"N";"N"
"00727";"0";"7";"27";"N";"N";"N";"N";"N"
"00729";"0";"7";"29";"N";"N";"N";"N";"N"
"00730";"0";"7";"30";"N";"N";"N";"N";"N"
"00735";"0";"7";"35";"N";"N";"N";"N";"N"
"00736";"0";"7";"36";"N";"N";"N";"N";"N"
"00737";"0";"7";"37";"N";"N";"N";"N";"N"
"00738";"0";"7";"38";"N";"N";"N";"N";"N"
"00739";"0";"7";"39";"N";"N";"N";"N";"N"
"00742";"0";"7";"42";"N";"N";"N";"N";"N"
"00743";"0";"7";"43";"N";"N";"N";"N";"N"
"00745";"0";"7";"45";"N";"N";"N";"N";"N"
"00748";"0";"7";"48";"N";"N";"N";"N";"N"
"00750";"0";"7";"50";"N";"N";"N";"N";"N"
"00751";"0";"7";"51";"N";"N";"N";"N";"N"
"00753";"0";"7";"53";"N";"N";"N";"N";"N"
"00754";"0";"7";"54";"N";"N";"N";"N";"N"
"00756";"0";"7";"56";"N";"N";"N";"N";"N"
"00759";"0";"7";"59";"N";"N";"N";"N";"N"
